Country_KR,Sector_Group,Project_Count_2019_2024,Share_2019_2024,Active_Years,Commitment_Raw,Disbursement_Raw,Top_Detail_Sectors
가나,공공행정,133,0.2818,6,6130901.31,4144510.71,공공정책 및 행정관리(50); 통신정책 및 행정관리(15); 분권화 및 지방정부 지원(15); 공공재정관리(15); 금융정책 및 행정관리(14)
가나,기술환경에너지,105,0.2225,6,2330500.59,2275843.59,정보통신기술(30); 기술연구개발(15); 도시개발 및 관리(14); 에너지정책 및 행정관리(10); 환경연구(6)
가나,농림수산,94,0.1992,6,16104136.71,9999370.15,농업 개발(30); 농업정책 및 행정관리(16); 식량생산(15); 어업 개발(9); 농촌개발(9)
가나,보건의료,49,0.1038,6,14204659.29,7697458.29,보건정책 및 행정관리(26); 기초보건진료(8); 보건인력개발(8); 의료서비스(7)
가나,교육,47,0.0996,6,9211934.57,6177451.28,"교육정책 및 행정관리(19); 중고등교육(7); 전문대,대학(원) 교육(4); 직업훈련(기초,중등수준)(3); 에너지 교육/훈련(3)"
가나,기타,29,0.0614,6,11607280.58,4195672.73,비특정분야(12); 성평등 조직(기구) 및 제도(9); 사업 개발 서비스(4); 책임감 있는 비즈니스(3); 석유 및 가스(1)
가나,긴급구호/취약성,15,0.0318,6,10098048.15,7356570.15,"전염병 관리 및 예방(말라리아,결핵, 성병, 코로나19 제외)(6); 여성폭력 근절(4); 재난위험경감(3); 사회보호/보장(1); 재난 대비능력 강화(1)"
가봉,기술환경에너지,3,0.375,3,37018.0,36542.0,기술연구개발(3)
가봉,공공행정,3,0.375,3,218838.45,218838.33,공공정책 및 행정관리(3)
가봉,농림수산,1,0.125,1,1852.0,1748.0,식량생산(1)
가봉,보건의료,1,0.125,1,0.06,0.04,보건정책 및 행정관리(1)
가이아나,공공행정,1,0.3333,1,140096.0,140096.0,공공정책 및 행정관리(1)
가이아나,긴급구호/취약성,1,0.3333,1,396689.0,396689.0,사회보호/보장(1)
가이아나,기술환경에너지,1,0.3333,1,0.0,0.0,환경정책 및 행정관리(1)
감비아,공공행정,8,0.4706,4,427577.98,427577.98,공공정책 및 행정관리(6); 건설정책 및 행정관리(1); 운송정책 및 행정관리(1)
감비아,기술환경에너지,2,0.1176,1,10958.0,10958.0,수자원정책 및 행정관리(1); 항공운송(1)
감비아,농림수산,2,0.1176,2,17026.0,17026.0,농업금융 서비스(1); 농업정책 및 행정관리(1)
감비아,긴급구호/취약성,2,0.1176,1,19711.0,19711.0,사회보호/보장(1); 인권 강화(1)
감비아,기타,1,0.0588,1,21531.0,21531.0,해양광물(1)
감비아,교육,1,0.0588,1,11249.0,11249.0,교사훈련(1)
감비아,보건의료,1,0.0588,1,0.01,0.01,보건정책 및 행정관리(1)
과테말라,공공행정,26,0.3611,6,1109394.14,2514232.14,공공정책 및 행정관리(11); 치안제도 관리 및 개선(8); 입법 및 사법제도 개발(4); 거시경제 정책(2); 통신정책 및 행정관리(1)
과테말라,기술환경에너지,24,0.3333,6,10153116.15,6453783.61,정보통신기술(6); 환경정책 및 행정관리(5); 도시개발 및 관리(4); 도로운송(4); 수자원정책 및 행정관리(2)
과테말라,기타,10,0.1389,6,1096358.18,1096358.18,비특정분야(10)
과테말라,농림수산,8,0.1111,5,248054.13,249570.13,농업정책 및 행정관리(3); 식량생산(3); 농업 개발(1); 농업 연구(1)
과테말라,긴급구호/취약성,2,0.0278,2,105202.0,105202.0,사회보호/보장(1); COVID-19(1)
과테말라,교육,2,0.0278,2,851372.0,851372.0,임업 교육/훈련(1); 교육시설 및 특별연수(1)
그레나다,공공행정,3,0.3,2,18175.03,18175.03,공공정책 및 행정관리(3)
그레나다,기술환경에너지,2,0.2,1,565003.0,437333.0,도로운송(1); 정보통신기술(1)
그레나다,농림수산,2,0.2,1,0.04,0.04,어업정책 및 행정관리(1); 어업 개발(1)
그레나다,보건의료,1,0.1,1,141595.0,141595.0,기초보건진료(1)
그레나다,교육,1,0.1,1,27895.0,27895.0,교육정책 및 행정관리(1)
그레나다,기타,1,0.1,1,0.0,0.11,비특정분야(1)
그외 지역 또는 다수국가 (미배분),기타,55,0.4825,6,141345328.96,141345328.96,비특정분야(38); 개발인식 증진(12); 다부문 원조(3); 구호 물자지원 및 서비스(2)
그외 지역 또는 다수국가 (미배분),공공행정,35,0.307,6,331188893.98,331578634.98,행정비용(33); 공공정책 및 행정관리(2)
그외 지역 또는 다수국가 (미배분),긴급구호/취약성,17,0.1491,6,13019880.52,13053485.52,재난 대비능력 강화(10); 사회보호/보장(6); COVID-19(1)
그외 지역 또는 다수국가 (미배분),교육,4,0.0351,4,4114594.17,4114594.17,환경교육/훈련(4)
그외 지역 또는 다수국가 (미배분),기술환경에너지,2,0.0175,1,1.98,1.98,환경정책 및 행정관리(2)
그외 지역 또는 다수국가 (미배분),보건의료,1,0.0088,1,0.0,1012534.0,기초보건진료(1)
기니,공공행정,3,0.6,3,426328.0,350235.07,공공정책 및 행정관리(3)
기니,교육,1,0.2,1,11249.0,11249.0,교사훈련(1)
기니,기술환경에너지,1,0.2,1,0.02,0.02,에너지정책 및 행정관리(1)
기니비사우,공공행정,3,0.6,2,815563.0,815563.0,공공정책 및 행정관리(3)
기니비사우,교육,1,0.2,1,11249.0,11249.0,교사훈련(1)
기니비사우,보건의료,1,0.2,1,183980.0,183980.0,기초의료설비(1)
나미비아,공공행정,7,0.7,5,448434.0,448434.0,공공정책 및 행정관리(6); 운송정책 및 행정관리(1)
나미비아,농림수산,2,0.2,2,15231.0,15231.0,농업정책 및 행정관리(1); 농업 개발(1)
나미비아,기술환경에너지,1,0.1,1,4493.0,4493.0,항공운송(1)
나우루,공공행정,2,0.6667,2,260383.0,260383.0,공공정책 및 행정관리(1); 통신정책 및 행정관리(1)
나우루,교육,1,0.3333,1,101910.0,101910.0,교육시설 및 특별연수(1)
나이지리아,공공행정,77,0.2674,6,14884656.96,7351606.03,공공정책 및 행정관리(32); 통신정책 및 행정관리(15); 운송정책 및 행정관리(7); 치안제도 관리 및 개선(5); 통상정책 및 행정관리(4)
나이지리아,기술환경에너지,75,0.2604,6,1446867.33,1404885.33,기술연구개발(18); 정보통신기술(17); 에너지정책 및 행정관리(15); 항공운송(8); 도시개발 및 관리(7)
나이지리아,농림수산,62,0.2153,6,712911.26,694114.26,농업정책 및 행정관리(15); 식량생산(15); 농업 개발(15); 농촌개발(8); 농수산물 가공업(3)
나이지리아,교육,28,0.0972,6,11257605.02,6124554.63,교육정책 및 행정관리(15); 에너지 교육/훈련(5); 초등교육(5); 운송 및 창고부문 교육(3)
나이지리아,기타,18,0.0625,6,1048538.24,1042185.06,성평등 조직(기구) 및 제도(7); 비특정분야(6); 책임감 있는 비즈니스(3); 반부패기구 및 제도 지원(1); 사업 개발 서비스(1)
나이지리아,보건의료,18,0.0625,5,316470.21,310536.21,보건정책 및 행정관리(15); 보건인력개발(3)
나이지리아,긴급구호/취약성,10,0.0347,6,280835.01,280619.01,"재난위험경감(3); 여성폭력 근절(3); COVID-19(2); 사회보호/보장(1); 전염병 관리 및 예방(말라리아,결핵, 성병, 코로나19 제외)(1)"
남수단,기술환경에너지,2,0.6667,1,0.02,0.02,정보통신기술(1); 수자원보호(1)
남수단,공공행정,1,0.3333,1,0.0,0.0,공공정책 및 행정관리(1)
남아메리카 지역 (미배분),긴급구호/취약성,1,1.0,1,164678.0,164678.0,COVID-19(1)
남아프리카공화국,교육,4,0.3636,3,1099433.0,1082159.0,"교육시설 및 특별연수(3); 직업훈련(기초,중등수준)(1)"
남아프리카공화국,농림수산,3,0.2727,3,189980.0,400848.0,농업 개발(2); 농업관련 기자재(1)
남아프리카공화국,공공행정,2,0.1818,2,4828.0,4828.0,치안제도 관리 및 개선(1); 공공정책 및 행정관리(1)
남아프리카공화국,기술환경에너지,2,0.1818,2,193708.0,193708.05,기초식수공급 및 기초위생에 포함되지 않는 기타(1); 정보통신기술(1)
네팔,공공행정,99,0.2886,6,11556938.58,5119938.57,공공정책 및 행정관리(46); 분권화 및 지방정부 지원(10); 치안제도 관리 및 개선(8); 통상정책 및 행정관리(7); 공공재정관리(6)
네팔,기술환경에너지,58,0.1691,6,11253271.25,9077413.03,정보통신기술(19); 도시개발 및 관리(12); 기술연구개발(8); 환경정책 및 행정관리(5); 수자원정책 및 행정관리(3)
네팔,농림수산,57,0.1662,6,5551628.14,4422526.98,식량생산(16); 농업 개발(15); 농업정책 및 행정관리(9); 농촌개발(8); 어업 개발(6)
네팔,교육,52,0.1516,6,10004510.58,13249055.25,"직업훈련(기초,중등수준)(10); 교육정책 및 행정관리(9); 교사훈련(6); 비정규 농업훈련(5); 전문대,대학(원) 교육(5)"
네팔,보건의료,38,0.1108,6,12042916.47,6820784.27,보건정책 및 행정관리(15); 의료서비스(12); 기초보건진료(6); 기초의료설비(3); 보건인력개발(2)
네팔,기타,27,0.0787,6,10823571.53,3423697.53,비특정분야(15); 성평등 조직(기구) 및 제도(6); 책임감 있는 비즈니스(3); 이민 이주 원활화(2); 구호 물자지원 및 서비스(1)
