Country_KR,Sector_Group,Year,Project_Count,Commitment_Raw,Disbursement_Raw
가나,공공행정,2019,25,754348.0,722200.0
가나,공공행정,2020,23,537369.0,539317.0
가나,공공행정,2021,23,681690.0,700363.0
가나,공공행정,2022,22,2666336.0,466603.0
가나,공공행정,2023,21,1491158.0,1716027.0
가나,공공행정,2024,19,0.31,0.71
가나,교육,2019,9,336645.0,334592.0
가나,교육,2020,9,8250060.0,276344.0
가나,교육,2021,7,201250.0,1592119.0
가나,교육,2022,8,214693.0,2303706.0
가나,교육,2023,8,209286.0,1670688.0
가나,교육,2024,6,0.57,2.28
가나,보건의료,2019,7,273813.0,1837296.0
가나,보건의료,2020,6,156879.0,939252.0
가나,보건의료,2021,5,647701.0,918430.0
가나,보건의료,2022,9,12268000.0,1212428.0
가나,보건의료,2023,10,858265.0,2790047.0
가나,보건의료,2024,12,1.29,5.29
가나,기술환경에너지,2019,27,735168.0,720816.0
가나,기술환경에너지,2020,17,352280.0,353686.0
가나,기술환경에너지,2021,10,168401.0,176266.0
가나,기술환경에너지,2022,14,598987.0,549411.0
가나,기술환경에너지,2023,16,475664.0,475664.0
가나,기술환경에너지,2024,21,0.59,0.59
가나,농림수산,2019,21,8413976.0,2920669.0
가나,농림수산,2020,16,6709868.0,2546827.0
가나,농림수산,2021,17,484058.0,2156238.0
가나,농림수산,2022,12,339355.0,971784.0
가나,농림수산,2023,14,156870.0,1403849.0
가나,농림수산,2024,14,9.71,3.15
가나,긴급구호/취약성,2019,2,26126.0,2203850.0
가나,긴급구호/취약성,2020,1,0.0,4489747.0
가나,긴급구호/취약성,2021,2,30878.0,34423.0
가나,긴급구호/취약성,2022,3,28006.0,36568.0
가나,긴급구호/취약성,2023,4,10013038.0,591982.0
가나,긴급구호/취약성,2024,3,0.15,0.15
가나,기타,2019,4,511149.0,509532.0
가나,기타,2020,4,309433.0,309919.0
가나,기타,2021,6,9748779.0,897438.0
가나,기타,2022,6,549685.0,773112.0
가나,기타,2023,5,488234.0,1705670.0
가나,기타,2024,4,0.58,1.73
가봉,공공행정,2019,0,0.0,0.0
가봉,공공행정,2020,0,0.0,0.0
가봉,공공행정,2021,1,196349.0,196349.0
가봉,공공행정,2022,1,22489.0,22489.0
가봉,공공행정,2023,0,0.0,0.0
가봉,공공행정,2024,1,0.45,0.33
가봉,교육,2019,0,0.0,0.0
가봉,교육,2020,0,0.0,0.0
가봉,교육,2021,0,0.0,0.0
가봉,교육,2022,0,0.0,0.0
가봉,교육,2023,0,0.0,0.0
가봉,교육,2024,0,0.0,0.0
가봉,보건의료,2019,0,0.0,0.0
가봉,보건의료,2020,0,0.0,0.0
가봉,보건의료,2021,0,0.0,0.0
가봉,보건의료,2022,0,0.0,0.0
가봉,보건의료,2023,0,0.0,0.0
가봉,보건의료,2024,1,0.06,0.04
가봉,기술환경에너지,2019,0,0.0,0.0
가봉,기술환경에너지,2020,1,28209.0,28445.0
가봉,기술환경에너지,2021,1,2132.0,2255.0
