Country_KR,Year,Project_Count,Commitment_Raw,Disbursement_Raw
가나,2019,95,11051225.0,9248955.0
가나,2020,76,16315889.0,9455092.0
가나,2021,70,11962757.0,6475277.0
가나,2022,74,16665062.0,6313612.0
가나,2023,78,13692515.0,10353927.0
가나,2024,79,13.2,13.91
가봉,2019,1,1852.0,1748.0
가봉,2020,1,28209.0,28445.0
가봉,2021,2,198481.0,198604.0
가봉,2022,2,29166.0,28331.0
가봉,2023,0,0.0,0.0
가봉,2024,2,0.5,0.36
가이아나,2019,0,0.0,0.0
가이아나,2020,0,0.0,0.0
가이아나,2021,1,140096.0,140096.0
가이아나,2022,0,0.0,0.0
가이아나,2023,1,396689.0,396689.0
가이아나,2024,1,0.0,0.0
감비아,2019,10,121612.0,121612.0
감비아,2020,0,0.0,0.0
감비아,2021,2,202050.0,202050.0
감비아,2022,1,174470.0,174470.0
감비아,2023,1,9920.0,9920.0
감비아,2024,3,0.99,0.99
과테말라,2019,16,788575.0,2126633.0
과테말라,2020,8,633455.0,651290.0
과테말라,2021,12,10076667.0,2544219.0
과테말라,2022,10,1019048.0,2221521.0
과테말라,2023,13,1045743.0,3726854.0
과테말라,2024,13,8.6,1.06
그레나다,2019,2,159770.0,159770.0
그레나다,2020,0,0.0,0.0
그레나다,2021,0,0.0,0.0
그레나다,2022,0,0.0,0.0
그레나다,2023,3,592898.0,465228.0
그레나다,2024,5,0.06,0.17
그외 지역 또는 다수국가 (미배분),2019,20,86225469.0,87440544.0
그외 지역 또는 다수국가 (미배분),2020,22,93491970.0,93679170.0
그외 지역 또는 다수국가 (미배분),2021,20,103916671.0,103950276.0
그외 지역 또는 다수국가 (미배분),2022,19,100259566.0,100259566.0
그외 지역 또는 다수국가 (미배분),2023,20,105774914.0,105774914.0
그외 지역 또는 다수국가 (미배분),2024,13,109.62,109.62
기니,2019,1,11249.0,11249.0
기니,2020,0,0.0,0.0
기니,2021,0,0.0,0.0
기니,2022,1,26328.0,26328.0
기니,2023,1,400000.0,323907.0
기니,2024,2,0.02,0.1
기니비사우,2019,1,11249.0,11249.0
기니비사우,2020,1,183980.0,183980.0
기니비사우,2021,0,0.0,0.0
기니비사우,2022,1,173066.0,173066.0
기니비사우,2023,2,642497.0,642497.0
기니비사우,2024,0,0.0,0.0
나미비아,2019,5,79789.0,79789.0
나미비아,2020,1,6055.0,6055.0
나미비아,2021,1,67442.0,67442.0
나미비아,2022,1,188922.0,188922.0
나미비아,2023,1,125950.0,125950.0
나미비아,2024,1,0.0,0.0
나우루,2019,1,58588.0,58588.0
나우루,2020,1,101910.0,101910.0
나우루,2021,0,0.0,0.0
나우루,2022,1,201795.0,201795.0
나우루,2023,0,0.0,0.0
나우루,2024,0,0.0,0.0
나이지리아,2019,42,1128695.0,4871483.0
나이지리아,2020,36,13994870.0,1044967.0
나이지리아,2021,43,11988749.0,1660724.0
나이지리아,2022,50,1710704.0,3845172.0
나이지리아,2023,57,1124852.0,5786147.0
나이지리아,2024,60,14.03,7.52
남수단,2019,0,0.0,0.0
남수단,2020,0,0.0,0.0
남수단,2021,0,0.0,0.0
남수단,2022,0,0.0,0.0
남수단,2023,0,0.0,0.0
남수단,2024,3,0.03,0.03
남아메리카 지역 (미배분),2019,0,0.0,0.0
남아메리카 지역 (미배분),2020,1,164678.0,164678.0
남아메리카 지역 (미배분),2021,0,0.0,0.0
남아메리카 지역 (미배분),2022,0,0.0,0.0
남아메리카 지역 (미배분),2023,0,0.0,0.0
남아메리카 지역 (미배분),2024,0,0.0,0.0
남아프리카공화국,2019,2,104180.0,303534.0
남아프리카공화국,2020,3,198536.0,210050.0
남아프리카공화국,2021,1,189980.0,189980.0
남아프리카공화국,2022,1,189150.0,189150.0
남아프리카공화국,2023,2,806103.0,788829.0
남아프리카공화국,2024,2,0.0,0.05
네팔,2019,77,4486670.0,10184213.0
네팔,2020,52,6573188.0,8562203.0
네팔,2021,46,18735694.0,7631222.0
네팔,2022,46,19485484.0,7624026.0
네팔,2023,64,12376331.0,8533044.0
네팔,2024,58,19.73,8.81
니우에,2019,0,0.0,0.0
니우에,2020,1,120729.0,120729.0
니우에,2021,0,0.0,0.0
니우에,2022,0,0.0,0.0
니우에,2023,0,0.0,0.0
니우에,2024,1,0.05,0.05
니제르,2019,0,0.0,0.0
니제르,2020,1,201792.0,201792.0
니제르,2021,1,197530.0,197530.0
니제르,2022,0,0.0,0.0
니제르,2023,1,105455.0,105455.0
니제르,2024,1,0.0,0.04
니카라과,2019,15,194489.0,1701859.0
니카라과,2020,9,50733.0,722532.0
니카라과,2021,6,164836.0,455095.0
니카라과,2022,0,0.0,0.0
니카라과,2023,2,906087.0,906087.0
니카라과,2024,1,0.0,0.0
도미니카공화국,2019,31,3589148.0,4469702.0
도미니카공화국,2020,24,7536621.0,2781765.0
도미니카공화국,2021,21,1629144.0,1943886.0
도미니카공화국,2022,20,3002043.0,3924646.0
도미니카공화국,2023,26,7647345.0,2498628.0
도미니카공화국,2024,30,2.1,4.23
동티모르,2019,60,13027702.0,7212821.0
동티모르,2020,50,17293922.0,6789749.0
동티모르,2021,32,8862325.0,5918217.0
동티모르,2022,34,2567083.0,5222988.0
동티모르,2023,49,2282717.0,5204861.0
동티모르,2024,55,9.03,7.14
라오스,2019,114,33085000.0,15885455.0
라오스,2020,74,31272426.0,14440021.0
라오스,2021,88,31517817.0,14339709.0
라오스,2022,107,10485699.0,15605223.0
라오스,2023,92,24463147.0,18970142.0
라오스,2024,90,10.82,22.51
라이베리아,2019,0,0.0,0.0
라이베리아,2020,0,0.0,0.0
라이베리아,2021,0,0.0,0.0
라이베리아,2022,0,0.0,0.0
라이베리아,2023,5,375549.0,375549.0
라이베리아,2024,4,0.05,0.05
레바논,2019,1,9176.0,9176.0
레바논,2020,2,6846.0,6846.0
레바논,2021,2,254325.0,254325.0
레바논,2022,1,85148.0,85148.0
레바논,2023,4,4959737.0,834638.0
레바논,2024,4,0.31,0.44
레소토,2019,1,22498.0,22498.0
레소토,2020,1,102389.0,102389.0
레소토,2021,0,0.0,0.0
레소토,2022,1,96213.0,96213.0
레소토,2023,2,1028180.0,1028180.0
레소토,2024,4,0.63,0.43
르완다,2019,76,4257791.0,11753433.0
르완다,2020,59,22620969.0,5105736.0
르완다,2021,52,14951777.0,6104563.0
르완다,2022,57,16553230.0,8088902.0
르완다,2023,59,9504133.0,14241203.0
르완다,2024,67,11.66,15.52
리비아,2019,1,191928.0,191928.0
리비아,2020,1,185319.0,185319.0
리비아,2021,1,151814.0,151814.0
리비아,2022,0,0.0,0.0
리비아,2023,1,338199.0,338199.0
리비아,2024,1,0.0,0.0
마다가스카르,2019,11,471864.0,469811.0
마다가스카르,2020,4,6209680.0,796353.0
마다가스카르,2021,3,131061.0,133174.0
마다가스카르,2022,3,221246.0,220994.0
마다가스카르,2023,10,243731.0,247155.0
마다가스카르,2024,8,0.1,0.1
마셜제도,2019,0,0.0,0.0
마셜제도,2020,0,0.0,0.0
마셜제도,2021,1,195901.0,195901.0
마셜제도,2022,1,191791.0,191791.0
마셜제도,2023,1,9404.0,9404.0
마셜제도,2024,5,0.93,0.93
마이크로네시아연방,2019,0,0.0,0.0
마이크로네시아연방,2020,0,0.0,0.0
마이크로네시아연방,2021,1,195901.0,195901.0
마이크로네시아연방,2022,0,0.0,0.0
마이크로네시아연방,2023,0,0.0,0.0
마이크로네시아연방,2024,0,0.0,0.0
말라위,2019,2,17330.0,17330.0
말라위,2020,0,0.0,0.0
말라위,2021,1,1694.0,1694.0
말라위,2022,7,327913.0,305171.0
말라위,2023,12,581327.0,584967.0
말라위,2024,21,0.77,0.77
말레이시아,2019,10,205150.0,205150.0
말레이시아,2020,7,179038.0,179038.0
말레이시아,2021,6,208407.0,208407.0
말레이시아,2022,1,6157.0,6157.0
말레이시아,2023,1,37815.0,37815.0
말레이시아,2024,3,0.06,0.06
말리,2019,1,22498.0,22498.0
말리,2020,0,0.0,0.0
말리,2021,1,1694.0,1694.0
말리,2022,0,0.0,0.0
말리,2023,1,400000.0,294719.0
