Rank_V21,Country_KR,WDI_Country_Name,WDI_Country_Code,Region_KR,K_ODA_Opportunity_Score_V21,Development_Need_Score,Korea_Coop_Base_Score_V2,Sector_Fit_Score_V2,Opportunity_Gap_Score_V2,Policy_Alignment_Score_V21,Risk_Feasibility_Score_V21,Data_Reliability_Score_V21,Policy_Alignment_Band_V21,Risk_Band_V21,Candidate_Type_V21,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,부패인식점수,전자정부지수,인간개발지수,기업여건,Project_Count_2019_2024,Project_Count_2024,Active_Years_2019_2024,Total_Disbursement_Raw,Top_Actionable_Sectors_2019_2024,Top_Detail_Sectors_2019_2024,Recommended_Service_Angle_V2,WDI_Core_Coverage_%,WDI_Core_Missing_Count,Policy_Risk_Data_Coverage_%,Score_Model_Status
1,탄자니아,Tanzania,TZA,아프리카 > 사하라 이남 > 동부아프리카,67.42,77.31,40.41,96.47,58.71,72.51,41.61,92.56,중간,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,Y,Y,78.14414,37.0,0.4206,0.529,141.0,482,86,6,51548614.24,공공행정(122); 기술환경에너지(109); 교육(86),공공정책 및 행정관리(43); 정보통신기술(30); 보건정책 및 행정관리(29); 교육정책 및 행정관리(25); 비특정분야(16),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
2,르완다,Rwanda,RWA,아프리카 > 사하라 이남 > 동부아프리카,65.28,68.08,31.7,95.41,59.29,72.93,57.42,100.0,중간,중간/검증 필요,고수요·정책정합: 우선 파일럿 후보,Y,Y,86.02952,53.0,0.4789,0.543,38.0,370,67,6,45293852.52,공공행정(86); 기술환경에너지(78); 교육(69),공공정책 및 행정관리(32); 정보통신기술(29); 농업 개발(24); 보건정책 및 행정관리(18); 교육정책 및 행정관리(17),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
3,우간다,Uganda,UGA,아프리카 > 사하라 이남 > 동부아프리카,65.27,75.72,32.43,97.15,65.62,72.35,32.41,92.56,중간,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,Y,Y,92.77037,28.0,0.4499,0.544,116.0,404,72,6,31480454.38,기술환경에너지(104); 농림수산(86); 공공행정(82),공공정책 및 행정관리(32); 정보통신기술(21); 기술연구개발(18); 식량생산(15); 농촌개발(14),"기술환경에너지, 농림수산",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
4,에티오피아,Ethiopia,ETH,아프리카 > 사하라 이남 > 동부아프리카,62.64,68.76,31.61,94.88,60.0,77.04,27.11,92.56,높음,높음/보완장치 필요,고수요: 파트너십 검증 후보,Y,Y,94.59578,37.0,0.274,0.485,159.0,303,29,6,83419667.4,공공행정(76); 교육(62); 농림수산(48),공공정책 및 행정관리(24); 보건정책 및 행정관리(16); 농촌개발(15); 비특정분야(15); 금융정책 및 행정관리(12),"공공행정, 교육",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
5,베트남,Viet Nam,VNM,아시아 > 극동 아시아,60.62,28.76,56.13,96.58,13.29,97.94,66.98,100.0,높음,중간/검증 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,63.8854,37.0,0.6667,0.704,70.0,555,84,6,137805142.48,공공행정(151); 기술환경에너지(113); 교육(105),공공정책 및 행정관리(86); 도시개발 및 관리(28); 농업 개발(23); 식량생산(21); 보건정책 및 행정관리(18),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
6,캄보디아,Cambodia,KHM,아시아 > 극동 아시아,59.62,49.08,43.54,96.49,33.78,84.58,34.78,92.56,높음,높음/보완장치 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,80.30838,20.0,0.5113,0.594,144.0,485,76,6,75374731.98,공공행정(140); 기술환경에너지(115); 교육(76),공공정책 및 행정관리(79); 식량생산(23); 의료서비스(23); 도시개발 및 관리(21); 교육정책 및 행정관리(16),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
7,가나,Ghana,GHA,아프리카 > 사하라 이남 > 서부아프리카,59.23,48.75,38.52,96.93,36.85,69.57,60.47,92.56,중간,중간/검증 필요,탐색 후보,Y,Y,64.15817,41.0,0.596,0.611,118.0,472,79,6,41846876.91,공공행정(133); 기술환경에너지(105); 농림수산(94),공공정책 및 행정관리(50); 농업 개발(30); 정보통신기술(30); 보건정책 및 행정관리(26); 교육정책 및 행정관리(19),"공공행정, 기술환경에너지",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
8,라오스,Lao PDR,LAO,아시아 > 극동 아시아,58.72,46.01,49.68,95.85,27.6,76.38,36.91,100.0,높음,높음/보완장치 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,76.86019,29.0,0.3288,0.613,154.0,565,90,6,79240572.51,공공행정(160); 기술환경에너지(138); 교육(94),공공정책 및 행정관리(88); 정보통신기술(26); 의료서비스(25); 식량생산(23); 교육정책 및 행정관리(16),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
9,미얀마,Myanmar,MMR,아시아 > 서남 및 중앙아시아,58.62,61.27,24.89,90.87,58.64,76.72,30.61,85.13,높음,높음/보완장치 필요,탐색 후보,Y,Y,94.0,29.0,0.4316,0.583,165.0,280,8,6,41750758.43,공공행정(81); 기술환경에너지(68); 농림수산(62),공공정책 및 행정관리(27); 농업 개발(18); 농촌개발(14); 도시개발 및 관리(13); 식량생산(12),"공공행정, 기술환경에너지",71.4,2,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
10,필리핀,Philippines,PHL,아시아 > 극동 아시아,58.59,37.1,43.22,96.22,24.76,86.85,57.31,100.0,높음,중간/검증 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,81.0,34.0,0.6892,0.718,95.0,503,94,6,62359007.15,공공행정(147); 농림수산(100); 기술환경에너지(94),공공정책 및 행정관리(83); 농업 개발(26); 도시개발 및 관리(24); 수자원정책 및 행정관리(21); 식량생산(21),"공공행정, 농림수산",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
11,콩고민주공화국(DR콩고),"Congo, Dem. Rep.",COD,아프리카 > 사하라 이남 > 중부아프리카,58.36,86.58,17.66,95.01,92.94,26.88,6.02,100.0,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,109.3946,18.0,0.258,0.48,183.0,221,31,6,16863325.45,공공행정(77); 기술환경에너지(51); 보건의료(23),공공정책 및 행정관리(41); 보건정책 및 행정관리(18); 기술연구개발(16); 통신정책 및 행정관리(14); 비특정분야(12),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
12,인도네시아,Indonesia,IDN,아시아 > 극동 아시아,58.19,32.29,45.29,96.53,20.15,85.42,67.48,100.0,높음,중간/검증 필요,정책정합·협력기반: 확장형 협력 후보,Y,Y,67.8455,40.0,0.6612,0.718,73.0,562,107,6,45045556.42,공공행정(225); 기술환경에너지(106); 교육(74),공공정책 및 행정관리(103); 도시개발 및 관리(29); 정보통신기술(22); 보건정책 및 행정관리(21); 교육정책 및 행정관리(19),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
13,모잠비크,Mozambique,MOZ,아프리카 > 사하라 이남 > 동부아프리카,57.6,85.27,10.3,93.48,100.0,21.39,23.67,92.56,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,91.69371,26.0,0.3564,0.456,138.0,124,19,6,12855086.83,공공행정(29); 농림수산(28); 기술환경에너지(24),공공정책 및 행정관리(19); 비특정분야(11); 농업 개발(10); 환경정책 및 행정관리(8); 수자원정책 및 행정관리(8),"공공행정, 농림수산",85.7,1,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
14,세네갈,Senegal,SEN,아프리카 > 사하라 이남 > 서부아프리카,57.3,55.1,17.77,91.9,57.67,70.24,48.83,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,74.56465,45.0,0.421,0.512,123.0,179,23,6,42096233.66,교육(48); 기술환경에너지(29); 농림수산(28),농업 개발(19); 비특정분야(15); 공공정책 및 행정관리(13); 취학전교육(13); 교육정책 및 행정관리(12),"교육, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
15,몽골,Mongolia,MNG,아시아 > 극동 아시아,56.26,26.81,40.18,96.56,17.94,87.58,71.05,100.0,높음,낮음/실행가능성 높음,정책정합·협력기반: 확장형 협력 후보,Y,Y,51.93521,35.0,0.6497,0.737,81.0,479,88,6,51400560.23,공공행정(151); 기술환경에너지(113); 교육(96),"공공정책 및 행정관리(57); 정보통신기술(25); 도시개발 및 관리(23); 보건정책 및 행정관리(21); 전문대,대학(원) 교육(19)","공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
16,네팔,Nepal,NPL,아시아 > 서남 및 중앙아시아,56.12,45.01,29.45,96.06,39.27,74.12,45.2,100.0,중간,높음/보완장치 필요,탐색 후보,Y,Y,82.5666,34.0,0.4699,0.602,94.0,343,58,6,42534716.81,공공행정(99); 기술환경에너지(58); 농림수산(57),공공정책 및 행정관리(46); 정보통신기술(19); 식량생산(16); 농업 개발(15); 보건정책 및 행정관리(15),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
17,나이지리아,Nigeria,NGA,아프리카 > 사하라 이남 > 서부아프리카,54.95,71.05,22.46,96.18,70.96,22.68,27.73,100.0,낮음,높음/보완장치 필요,고수요·고위험: 국제기구/인도지원 연계형,N,Y,97.26751,26.0,0.4406,0.539,131.0,288,60,6,17208500.52,공공행정(77); 기술환경에너지(75); 농림수산(62),공공정책 및 행정관리(32); 기술연구개발(18); 정보통신기술(17); 교육정책 및 행정관리(15); 농업정책 및 행정관리(15),"공공행정, 기술환경에너지",100.0,0,100.0,V2.1_KOICA+WDI+PolicyAlignment+RiskFeasibility; CPS PDF RAG parsed separately in KODA_cps_pdf_chunks.csv
