Rank_V21,Country_KR,Partner_Country_KR_Target,Match_Method,Policy_Alignment_Score_V21,Policy_CPS_Target_Score,Policy_KOICA_Office_Score,Policy_KOICA_Support_Score,Policy_Sector_Alignment_Score,Risk_Feasibility_Score_V21,Risk_Fragility_Score,Risk_Corruption_Control_Score,Risk_Egov_Score,Risk_HDI_Score,Risk_Business_Environment_Score,Risk_Office_Presence_Score,Policy_Risk_Data_Coverage_%,국가협력전략 대상국가,한국국제협력단 사무소 주재 여부,취약국가 지수,취약국가 순위,부패인식점수,부패인식순위,전자정부지수,인간개발지수,기업여건,한국국제협력단 지원 규모_전체,한국국제협력단 지원 규모_공공행정,한국국제협력단 지원 규모_교육,한국국제협력단 지원 규모_기술환경에너지,한국국제협력단 지원 규모_농림수산,한국국제협력단 지원 규모_보건
1,탄자니아,탄자니아,auto,72.51,100.0,100.0,31.552219032899092,13.863137637020904,41.61,45.152720870132875,50.0,32.54603682946356,20.621468926553675,25.925925925925924,100.0,100.0,Y,Y,78.14414,61.0,37.0,96.0,0.4206,0.529,141.0,154000000.0,22800000.0,38700000.0,10300000.0,34600000.0,44800000.0
2,르완다,르완다,auto,72.93,100.0,100.0,28.24022963126518,18.450556180495937,57.42,33.759404992704866,92.10526315789474,44.215372297838265,24.57627118644068,89.50617283950618,100.0,100.0,Y,Y,86.02952,35.0,53.0,51.0,0.4789,0.543,38.0,139000000.0,31000000.0,39900000.0,12300000.0,41900000.0,12200000.0
3,우간다,우간다,auto,72.35,100.0,100.0,20.291455067343783,21.547500605537266,32.41,24.019781368686694,26.31578947368421,38.41072858286629,24.858757062146896,41.358024691358025,100.0,100.0,Y,Y,92.77037,24.0,28.0,137.0,0.4499,0.544,116.0,103000000.0,11400000.0,18200000.0,12600000.0,31900000.0,21500000.0
4,에티오피아,에티오피아,auto,77.04,100.0,100.0,44.35857805255023,26.906988865709227,27.11,21.382308889768,50.0,3.2025620496397145,8.192090395480218,14.814814814814813,100.0,100.0,Y,Y,94.59578,21.0,37.0,96.0,0.274,0.485,159.0,212000000.0,17000000.0,63200000.0,17100000.0,35000000.0,74400000.0
5,베트남,베트남,auto,97.94,100.0,100.0,100.0,89.69745539160857,66.98,65.7546866389503,50.0,81.80544435548437,70.05649717514122,69.75308641975309,100.0,100.0,Y,Y,63.8854,110.0,37.0,96.0,0.6667,0.704,70.0,464000000.0,97300000.0,152000000.0,87000000.0,40600000.0,77300000.0
6,캄보디아,캄보디아,auto,84.58,100.0,100.0,61.80172223448886,51.53361032534583,34.78,42.02568451239681,5.263157894736842,50.70056044835868,38.98305084745761,24.074074074074073,100.0,100.0,Y,Y,80.30838,55.0,20.0,162.0,0.5113,0.594,144.0,291000000.0,41900000.0,78500000.0,61200000.0,33000000.0,67000000.0
7,가나,가나,auto,69.57,100.0,100.0,17.973062486200046,9.374648003257676,60.47,65.36057059484259,60.526315789473685,67.65412329863891,43.78531073446326,40.123456790123456,100.0,100.0,Y,Y,64.15817,108.0,41.0,80.0,0.596,0.611,118.0,92500000.0,10500000.0,16800000.0,11400000.0,15400000.0,36700000.0
8,라오스,라오스,auto,76.38,100.0,100.0,39.500993596820486,27.270316181795067,36.91,47.007856313297765,28.947368421052634,14.171337069655717,44.350282485875695,17.901234567901234,100.0,100.0,Y,Y,76.86019,63.0,29.0,130.0,0.3288,0.613,154.0,190000000.0,29200000.0,48200000.0,28700000.0,36900000.0,43900000.0
9,미얀마,미얀마,auto,76.72,100.0,100.0,43.47538087878119,25.993361176270543,30.61,22.243131035746266,28.947368421052634,34.74779823859087,35.875706214689245,11.11111111111111,100.0,100.0,Y,Y,94.0,22.0,29.0,130.0,0.4316,0.583,165.0,208000000.0,23900000.0,67200000.0,30300000.0,69100000.0,10100000.0
10,필리핀,필리핀,auto,86.85,100.0,100.0,64.67211304923825,60.750224791512785,57.31,41.02638642820216,42.10526315789473,86.30904723779022,74.01129943502823,54.32098765432099,100.0,100.0,Y,Y,81.0,54.0,34.0,113.0,0.6892,0.718,95.0,304000000.0,27900000.0,63600000.0,44500000.0,106000000.0,47200000.0
