Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
베트남,Viet Nam,VNM,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,5065.99091899299,7,lower_is_higher_need,0.25,"$5,066"
베트남,Viet Nam,VNM,SI.POV.DDAY,Poverty rate,빈곤,2022.0,1.6,2,higher_is_higher_need,0.15,1.6%
베트남,Viet Nam,VNM,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,74.736,6,lower_is_higher_need,0.1,74.7 years
베트남,Viet Nam,VNM,SE.SEC.ENRR,Secondary enrollment,교육,2022.0,93.4123434096522,4,lower_is_higher_need,0.15,93.4%
베트남,Viet Nam,VNM,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,99.8,5,lower_is_higher_need,0.15,99.8%
베트남,Viet Nam,VNM,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,84.15,6,lower_is_higher_need,0.15,84.2%
베트남,Viet Nam,VNM,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,1.523,7,higher_is_higher_need,0.05,1.5%
베트남,Viet Nam,VNM,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,38.8299160351294,7,context,0.0,38.8%
베트남,Viet Nam,VNM,SP.POP.TOTL,Population,인구규모,2025.0,101598527.0,7,context,0.0,101.6M
베트남,Viet Nam,VNM,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,4.26605675468195,6,context,0.0,4.27 tCO2e/cap
라오스,Lao PDR,LAO,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,2324.76353098791,7,lower_is_higher_need,0.25,"$2,325"
라오스,Lao PDR,LAO,SI.POV.DDAY,Poverty rate,빈곤,2024.0,7.1,1,higher_is_higher_need,0.15,7.1%
라오스,Lao PDR,LAO,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,69.225,6,lower_is_higher_need,0.1,69.2 years
라오스,Lao PDR,LAO,SE.SEC.ENRR,Secondary enrollment,교육,2025.0,50.5430058959811,7,lower_is_higher_need,0.15,50.5%
라오스,Lao PDR,LAO,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,96.5,5,lower_is_higher_need,0.15,96.5%
라오스,Lao PDR,LAO,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,65.59269714,6,lower_is_higher_need,0.15,65.6%
라오스,Lao PDR,LAO,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,1.187,7,higher_is_higher_need,0.05,1.2%
