Country_KR,WDI_Country_Code,Rebuilt_Opportunity_Score,Rebuilt_Rank,Stored_Opportunity_Score,Stored_Rank,Absolute_Error,Rank_Match,Raw_To_Component_Reproduced,Component_Lineage_Status
탄자니아,TZA,67.41650000000001,1,67.42,1,0.0034999999999882903,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
르완다,RWA,65.282,2,65.28,2,0.001999999999995339,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
우간다,UGA,65.27199999999999,3,65.27,3,0.001999999999995339,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
에티오피아,ETH,62.638999999999996,4,62.64,4,0.0010000000000047748,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
베트남,VNM,60.621,5,60.62,5,0.0010000000000047748,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
캄보디아,KHM,59.622499999999995,6,59.62,6,0.0024999999999977263,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
가나,GHA,59.2265,7,59.23,7,0.0034999999999953957,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
라오스,LAO,58.724,8,58.72,8,0.003999999999997783,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
미얀마,MMR,58.615500000000004,9,58.62,9,0.004499999999993065,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
필리핀,PHL,58.5865,10,58.59,10,0.003500000000002501,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
콩고민주공화국(DR콩고),COD,58.35649999999999,11,58.36,11,0.0035000000000096065,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
인도네시아,IDN,58.18600000000001,12,58.19,12,0.003999999999990678,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
모잠비크,MOZ,57.602999999999994,13,57.6,13,0.0029999999999930083,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
세네갈,SEN,57.300000000000004,14,57.3,14,7.105427357601002e-15,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
몽골,MNG,56.2585,15,56.26,15,0.0015000000000000568,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
네팔,NPL,56.1165,16,56.12,16,0.0034999999999953957,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
나이지리아,NGA,54.95250000000001,17,54.95,17,0.0025000000000048317,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
파키스탄,PAK,54.340999999999994,18,54.34,18,0.000999999999990564,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
우즈베키스탄,UZB,53.943000000000005,19,53.94,19,0.003000000000007219,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
방글라데시,BGD,53.9005,20,53.9,20,0.0005000000000023874,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
스리랑카,LKA,53.534000000000006,21,53.53,21,0.0040000000000048885,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
케냐,KEN,52.107,22,52.11,22,0.0030000000000001137,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
카메룬,CMR,51.913,23,51.91,23,0.0030000000000001137,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
키르기스스탄,KGZ,51.5975,24,51.6,24,0.0025000000000048317,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
파라과이,PRY,50.64950000000001,25,50.65,25,0.0004999999999881766,True,False,Development Need:PARTIAL;Korea Cooperation Base:PARTIAL;Sector Fit:PARTIAL;Opportunity Gap:UNRESOLVED;Policy Alignment:PARTIAL;Risk Feasibility:PARTIAL;Data Reliability:PARTIAL
