Country_Code,Country_KR,PDF_File,Pages,File_Bytes,SHA256,Text_Layer_Pages,OCR_Completed_Pages,Searchable_Pages,Searchable_Chunks,Search_Status,Source_Role
BGD,방글라데시,BGD.pdf,35,1212636,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,33,2,35,43,Searchable,현재 핵심 활용 · CPS 정책원문
BOL,볼리비아,BOL.pdf,27,1078018,07ab8f427f6bb348730adbf5b54d81831dcfcb55bad008a2423418bac300f723,24,1,25,35,Searchable,현재 핵심 활용 · CPS 정책원문
COL,콜롬비아,COL.pdf,32,3081316,3d50d788ba6340e93fdd6f4b347dc050c839f01c9800ad97527077a03ffaf473,0,32,32,33,Searchable,현재 핵심 활용 · CPS 정책원문
EGY,이집트,EGY.pdf,28,1119729,e4df7e5c4f08af123f03f929c19e0ef344514c23e35849f4d040717b115d4ded,27,1,28,33,Searchable,현재 핵심 활용 · CPS 정책원문
ETH,에티오피아,ETH.pdf,30,717076,b68a4d4b42f772d541d622b313741eda1f29c7cc141816dfd7fbb21080212d75,27,1,28,35,Searchable,현재 핵심 활용 · CPS 정책원문
GHA,가나,GHA.pdf,35,4393791,c1881a9d9d4a69902ea4c4ac71a3e6381f40ec71981e8e8026a71ba112fbbbc9,0,35,35,42,Searchable,현재 핵심 활용 · CPS 정책원문
IDN,인도네시아,IDN.pdf,38,1230615,75a753f63552edf996e1b8b30ea529dd62e4c76a3a291b4ef2daa36947bde4ab,37,1,38,43,Searchable,현재 핵심 활용 · CPS 정책원문
IND,인도,IND.pdf,33,1128516,0ddde6992cdd4cc405f08bae7524fe51a40a83ffa5f4bd33db7f209cd842a70a,32,1,33,42,Searchable,현재 핵심 활용 · CPS 정책원문
KGZ,키르기스스탄,KGZ.pdf,33,1165271,f66f34ec414e0c46130c041e062b8b4ddb0e076a5b5f38afec35548452dc040e,32,1,33,42,Searchable,현재 핵심 활용 · CPS 정책원문
KHM,캄보디아,KHM.pdf,31,3519835,e5f86b4ec654a20aa666d9bcbc8ef320b512f7bf94cf2b5e61f6996c677274f2,0,31,31,37,Searchable,현재 핵심 활용 · CPS 정책원문
LAO,라오스,LAO.pdf,29,727768,3876704c8ac9d202623589972e8fbff1d7ef4850cdf055e1a6124efc28a2720e,26,1,27,34,Searchable,현재 핵심 활용 · CPS 정책원문
LKA,스리랑카,LKA.pdf,40,1594159,55822afec8419865030238e15318e0982b69b54ef2d40064e0235eb4d04be722,39,1,40,49,Searchable,현재 핵심 활용 · CPS 정책원문
MMR,미얀마,MMR.pdf,35,3760731,793563c17c5d83ebc3a827405aa7b74d7caf72fa7d9339779e807e5280bdd4bb,0,35,35,40,Searchable,현재 핵심 활용 · CPS 정책원문
MNG,몽골,MNG.pdf,40,4167468,c358df0f1dae339fa47e00952b8492c01eb72d05d5a218cba94e8a505a5b5666,0,40,40,44,Searchable,현재 핵심 활용 · CPS 정책원문
NPL,네팔,NPL.pdf,48,1387827,4cc7dd3b0926e3f1c8d342736e487969a5d97bc6b8a6d06c646e3b94817410de,47,1,48,56,Searchable,현재 핵심 활용 · CPS 정책원문
PAK,파키스탄,PAK.pdf,30,3285186,91c753e1763818d21917770c36d213f236684b8d250d81bc34253c614e48ce54,0,30,30,35,Searchable,현재 핵심 활용 · CPS 정책원문
PER,페루,PER.pdf,30,1146272,0286333c9017db81eb2fdb678ca0bc4d250b05538f59d7875c3445ebdcb9c420,27,1,28,36,Searchable,현재 핵심 활용 · CPS 정책원문
PHL,필리핀,PHL.pdf,34,1171272,579e710ad8cdef1dfc311b05be14a2dab15b590a255ce50afe708cb60f066a07,31,1,32,45,Searchable,현재 핵심 활용 · CPS 정책원문
PRY,파라과이,PRY.pdf,27,2887537,656b4204defe3bf271f89c02a02196bfbac84f1fd08b2792a2ae7927ad058532,0,25,25,29,Searchable,현재 핵심 활용 · CPS 정책원문
RWA,르완다,RWA.pdf,47,1417645,c227f157424dff0f7e3ce7a13c62eea8025d6c5c2f59d5eeb797e3d6f83cc6ec,46,1,47,57,Searchable,현재 핵심 활용 · CPS 정책원문
SEN,세네갈,SEN.pdf,47,1501532,3553408dad22bce0ddf8aaf7e85288314867b1f2a5ba31348b345ed0dc3ed226,46,1,47,58,Searchable,현재 핵심 활용 · CPS 정책원문
TJK,타지키스탄,TJK.pdf,37,1191051,6081b2a7ae0fdfff6828231b864d6f7f91f583d397cbbcd4179c8cdca67634c0,36,1,37,45,Searchable,현재 핵심 활용 · CPS 정책원문
TZA,탄자니아,TZA.pdf,30,731115,3d0dd8ad6866833223c9432ebd743588cd40544cb6ca7cc94a2b2a5a21bf0287,27,1,28,36,Searchable,현재 핵심 활용 · CPS 정책원문
UGA,우간다,UGA.pdf,26,664698,4004b94b860699502709b7b138d50eef2a33453f21decea9ec2079e6f880d02b,23,1,24,32,Searchable,현재 핵심 활용 · CPS 정책원문
UKR,우크라이나,UKR.pdf,35,1230718,128cfd49be4b438bc3630209637b2dfc323bd4591e2b00321713f1cd571dc00d,34,1,35,43,Searchable,현재 핵심 활용 · CPS 정책원문
UZB,우즈베키스탄,UZB.pdf,30,1183817,148c9f59f0b2c72579bf61c233a4ecb27b7165e11b69b8bdd5afaa35e8c0cee0,27,1,28,34,Searchable,현재 핵심 활용 · CPS 정책원문
VNM,베트남,VNM.pdf,34,973064,95e91e3b2707b0c820c4a8cf2e9cdbba99ef0ae2bad8368d6990090a94a3c9ef,31,1,32,42,Searchable,현재 핵심 활용 · CPS 정책원문
